car_id,min_price,max_price,structure,emission,gearbox,fc,baidu_index
144,3.09,4.43,客车,1.0L 1.1L,手动,7-8L,333
145,10.99,15.99,三厢,1.4T 1.5L,手动 双离合 手自一体,6-8L,35400
146,11.29,16.29,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,7759
147,3.88,16.98,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,16115
148,4.88,6.28,两厢,1.3L,手动 AMT,6-9L,245
149,3.08,3.49,客车,1.2L,手动,6-8L,83300
150,17.98,19.48,三厢,2.3L,手自一体,10-10L,35600
151,6.98,7.68,三厢,1.6L,手动,8-10L,13100
152,3.68,6.98,两厢,1.0L 1.3L 1.5L,手动 自动 AMT,5-8L,15100
153,9.98,15.98,SUV,1.4T 1.6L,手动 手自一体,6-6L,21158
154,4.18,7.78,三厢,1.3L,手动 自动,7-7L,29000
155,6.59,10.29,三厢,1.5L 1.6L 2.0L,手动 无级,6-8L,8128
156,21.98,21.98,SUV,E,固定齿比,0-0L,1006
157,15.99,23.99,SUV,1.6T 2.0L,手动 双离合 手自一体,7-11L,9300
158,4.8,8.77,两厢,1.5L,AMT,6-8L,null
159,22.99,44.99,MPV,2.0T 2.5L,手自一体,8-12L,4800
160,19.98,27.38,SUV,2.3T 2.5L,手自一体,9-12L,8958
161,16.98,24.58,SUV,2.0L 2.5L,手动 手自一体,7-8L,300
162,4.38,6.38,SUV,1.3L 1.5L 1.6L,手动,7-7L,3400
163,9.98,18.28,三厢,1.8L 1.8T,手动 双离合 手自一体,7-8L,32300
164,13.18,21.88,三厢,1.2T 1.4T 1.6L 2.0T,手动 双离合 手自一体,6-9L,126758
165,8.99,16.99,两厢 三厢,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,null
166,12.28,16.98,SUV,2.0L,手动 无级,8-9L,13844
167,7.99,12.29,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,26800
168,15.98,24.98,三厢,1.6T 2.0L 2.0T,手动 双离合 手自一体,5-8L,28600
169,12.88,18.88,三厢,1.6T 1.8L 2.0L,手动 双离合 手自一体,7-8L,31506
170,9.68,15.08,三厢,1.4T 1.6L,手动 双离合 手自一体,6-7L,6100
171,20.98,31.58,SUV,2.0L 2.4L,手自一体,8-8L,100
172,17.37,26.97,三厢,1.6T 1.8T 2.0L,手动 手自一体,7-9L,29100
173,9.98,14.98,三厢,1.8T 2.0L,手动 手自一体,8-9L,22200
174,5.39,6.79,三厢,1.3T 1.5L,手动 手自一体,6-7L,23600
175,7.48,11.38,三厢,1.5L 1.5T,手动 无级,7-7L,26140
176,8.49,13.89,两厢 三厢,1.4L 1.4T 1.6L,手动 自动 双离合,6-7L,7100
177,39.8,57.8,SUV,2.0T,手自一体,8-8L,5600
178,14.58,20.18,三厢,1.8T 2.0T,手自一体,8-10L,7448
179,6.38,8.98,两厢,1.0L 1.3L,手动 自动,7-7L,3087
180,7.5,36.67,SUV,1.5T,手动 无级,7-8L,6700
181,8.38,12.08,三厢,1.6L,手动 手自一体,6-8L,35100
182,28.6,43.9,SUV,1.5T 2.0T,手自一体,6-9L,19100
183,6.58,9.28,三厢,1.6L,手动 手自一体,6-7L,10260
184,8.58,9.58,三厢,1.6L,手动 手自一体,7-8L,24100
185,25.28,34.28,三厢,1.8T 2.0T 3.0L,双离合,8-9L,12956
186,6.98,8.68,MPV,1.6L,手动,8-8L,248
187,3.88,16.98,两厢,1.0L 1.3L,手动 AMT 固定齿比,6-7L,null
188,9.98,17.99,两厢,1.4T 1.6L,手动 双离合 手自一体,6-8L,117229
189,7.99,12.29,两厢 三厢,1.0T 1.5L,手动 双离合,6-7L,null
190,4.18,6.19,两厢,1.0L,手动 自动,5-6L,30100
191,8.18,11.78,三厢,1.4T 1.6L,手动 手自一体,6-8L,30700
192,3.59,5.39,客车,1.3L 1.5L,手动,7-8L,12000
193,11.29,16.29,两厢 三厢,1.5L 2.0L,手动 手自一体,6-6L,null
194,3.1,3.5,两厢 三厢,1.0L,手动,6-6L,null
195,3,3.5,两厢,1.0L,手动,6-6L,3122
196,18.98,25.98,三厢,2.0T 3.0L,手自一体,12-13L,5035
197,9.98,17.98,三厢,2.0L 2.0T,手动 手自一体,10-10L,42400
198,6.98,10.48,两厢,1.3L 1.5L,手动 无级,5-6L,400
199,39.6,57.9,SUV,2.0T,手自一体,7-8L,29466
200,6.97,8.97,三厢,2.0L,手动 手自一体,7-7L,5345
201,3.4,4.4,客车,1.0L 1.2L,手动,7-8L,200
202,8.97,12.97,三厢,1.6L 1.8L,手动 手自一体,7-8L,1483
203,13.59,20.59,两厢 三厢,1.5L 1.5T,手动 双离合 手自一体,6-6L,22000
204,6.5,10.48,两厢,1.4L 1.6L,手动 自动,5-6L,null
205,8.99,16.99,两厢 三厢,1.4T 1.5L 1.6L 1.6T,手动 双离合 手自一体,6-8L,1500
206,3.87,4.37,客车,1.3L,手动,7-8L,291
207,16.98,27.28,两厢,1.4T 1.8T 2.0T,手动 双离合,6-8L,3000
208,14.99,22.99,两厢,1.2T 1.6T 1.8T,手自一体,6-7L,null
209,7.08,8.08,MPV,1.6L,手动,9-9L,3566
210,7.99,10.39,SUV,1.5T 1.6L,手动 手自一体,7-7L,1200
211,6.29,7.99,三厢,1.3L 1.5L,手动 AMT,5-6L,2600
212,9.48,12.58,两厢 三厢,1.6L 2.0L,手动 手自一体,6-8L,null
213,20.48,26.88,三厢,1.8T 2.0T 2.3T,手自一体,9-9L,140
214,36.98,42.98,SUV,3.0L,手自一体,12-13L,null
215,11.98,16.88,三厢,1.8T 2.0T,手动 手自一体,8-8L,1511
216,4.29,4.69,两厢,1.5L,手动,6-7L,15400
217,6.98,11.48,MPV,1.5T 2.0L 2.4L,手动 手自一体,9-10L,12200
218,13.28,19.28,MPV,2.0L,手动,9.2L,709
219,13.98,21.58,三厢,1.8T 2.0T 2.3T,手自一体,9-10L,300
220,5.59,7.59,SUV,1.5L,手动 自动,6-7L,895
221,3.98,4.98,两厢,1.0L 1.2L,手动,5-6L,27800
222,22.98,33.98,三厢,1.5T 1.8L 2.0T,无级 双离合 手自一体,5-10L,3900
223,10.98,14.98,三厢,1.8L,手动 无级,6-7L,0
224,37.8,55.8,SUV,2.0T 3.0L,手自一体,8-11L,27800
225,7.68,10.98,三厢,1.5T,手动 无级,6-8L,8700
226,12.38,22.98,SUV,1.8T 2.0L,手动 手自一体,9-10L,null
227,7.99,11.69,三厢,1.4L 1.6L,手动 自动,6-7L,1300
228,9.98,16.18,SUV,1.3T 1.5T,手动 双离合 手自一体,6-7L,48600
229,10.78,12.38,MPV,1.6L,手动 无级,7-8L,17441
230,3.79,5.09,两厢,1.0L,手动 AMT,5-7L,null
231,3.99,7.88,两厢 三厢,1.3L 1.5L 1.6L,手动,6-8L,null
232,18.99,31.69,三厢,1.4T 1.8T 2.0T,双离合,6-10L,2000
233,4.6,6.3,SUV,1.3L 1.5L,手动 无级,6-8L,300
234,7.99,13.49,三厢,1.4L 1.4T 1.5L,手动 自动 双离合,5-8L,19700
235,12.99,18.38,两厢,1.5T 1.8L,自动 无级,6-7L,400
236,7.98,19.36,MPV,1.6L 1.8L,手动 自动 无级,7-9L,13400
237,8.83,13.28,SUV,2.0L 2.4L,手动 自动,11-12L,349
238,4.98,5.35,两厢,1.2L 1.4L,手动,6-7L,11900
239,25.98,33.58,两厢,2.4L 3.0L,自动 手自一体,9-10L,6000
240,7.68,10.98,两厢,1.5L 1.6L,手动 手自一体,6-9L,14320
241,9.58,13.98,三厢,1.6L 1.8L 2.0L,手动 无级,7-8L,5900
242,5,5,两厢,1.4L,手动,6-6L,3600
243,6.98,10.58,SUV,1.5T 1.8L,手动 AMT,7-8L,1000
244,7.39,10.99,两厢 三厢,1.4L 1.6L,手动 手自一体,6-7L,null
245,4.59,6.09,两厢,1.4L,手动 AMT,5-6L,null
246,3.98,5.28,客车,1.4L 1.5L,手动,6-8L,2255
247,12.98,20.98,SUV,1.4T 1.6L 1.8T,手动 双离合,6-8L,5100
248,6.98,11.38,三厢,1.3L 1.5L,手动 无级,5-7L,24400
249,5.98,8.04,三厢,1.5L 1.8L,手动 无级,7-7L,1337
250,12.98,15.98,三厢,2.0L,手动 手自一体,8-8L,600
251,21.98,25.98,MPV,2.3L 2.5L,手自一体,10-10L,null
252,9.08,11.38,三厢,1.6L,手动 自动,6-7L,29900
253,6.69,8.69,SUV,1.5L 1.6L,手动 无级,7-7L,1700
254,12.19,23.99,两厢,1.2T 1.4T 1.6L 2.0T,手动 双离合 手自一体,5-8L,122703
255,7.99,10.89,SUV,1.6L 1.8T 2.0L,手动 无级,7-8L,500
256,9.99,11.69,三厢,1.8L,手动 自动,7-7L,21143
257,5.93,8.68,MPV,1.3L 1.5L 1.6L,手动,7-8L,727
258,12.19,23.99,两厢,1.2T 1.4T 1.6L 2.0T,手动 双离合 手自一体,5-8L,null
259,9.88,11.98,三厢,1.6L,手动 手自一体,6-8L,100442
260,20.98,30.98,三厢,1.5T,双离合 固定齿比,1-2L,null
261,9.98,16.58,两厢 三厢,1.0T 1.5T 1.6L 1.8L,手动 双离合 手自一体,5-9L,1400
262,7.98,14.98,SUV,1.5T 2.0T,手动 双离合,8-9L,4800
263,6.29,7.29,两厢,1.5L,手动,6-6L,37833
264,5.19,8.15,MPV,1.3L 1.5L,手动 自动,7-8L,517
265,11.98,17.98,两厢,E,固定齿比,0-0L,993
266,6.19,7.59,三厢,1.5L,手动 手自一体,6-7L,3900
267,6.09,8.79,三厢,1.0T 1.6L,手动 手自一体,6-7L,44814
268,8.09,10.39,两厢 三厢,1.6L,手动 手自一体,6-8L,24900
269,16.78,24.78,SUV,2.4L,手动,9-11L,3367
270,4.18,6.98,客车,1.2L 1.5L,手动,7-8L,89600
271,13.19,18.99,三厢,1.2T 1.6T 1.8L,手动 手自一体,5-8L,6500
272,19.39,30.19,SUV,1.6T 1.8T,手自一体,7-7L,null
273,18.89,18.89,两厢,E,固定齿比,0-0L,606
274,21.99,34.59,两厢,1.6T 1.8T,手自一体,6-8L,null
275,6.99,12.19,SUV,1.5T 1.6L,手动 无级,7-8L,27412
276,6.28,7.58,三厢,1.5L,手动,7-8L,61600
277,9.88,17.97,SUV,1.5T 2.0T,手动 双离合,7-8L,35414
278,3.48,5.49,两厢,1.3L,手动 无级,7-7L,8600
279,9.58,11.18,三厢,1.6L,手动 手自一体,7-9L,9965
280,7.98,11.28,三厢,1.5L,手动 无级,6-6L,70200
281,6.37,8.37,两厢,1.3L 1.5L,手动 AMT,6-7L,19500
282,8.97,14.07,两厢,1.5L 1.5T,手动 自动 手自一体,7-8L,12129
283,4.88,8.28,两厢 三厢,1.3L 1.5L,手动 自动,6-7L,10400
