,y_true,y_lasso,y_enet,,,
56,-0.120014569,0.01380363,0.01528378,,0.017907311,0.018305643
57,-0.225277727,0.01380363,0.01528378,,0.057159896,0.057869839
58,0.03633218,0.01380363,0.01528378,,0.000507536,0.000443035
59,0.052328052,0.01380363,0.01528378,,0.001484131,0.001372278
60,-0.151490317,0.01380363,0.01528378,,0.027322089,0.0278136
61,-0.17987009,0.01380363,0.01528378,,0.03750951,0.038085033
62,-0.0911188,0.01380363,0.01528378,,0.011008716,0.011321509
63,-0.189132159,0.014352791,0.016307639,,0.041406125,0.042205511
64,-0.240081319,0.014352791,0.016307639,,0.064736716,0.065735298
65,-0.094216165,0.014352791,0.016307639,,0.011787218,0.012215511
66,-0.19371431,0.014352791,0.016307639,,0.043291919,0.044109219
67,-0.079051425,0.014352791,0.016307639,,0.008724348,0.009093351
68,-0.014792207,0.014352791,0.016307639,,0.000849431,0.0009672
69,-0.097052735,0.014352791,0.016307639,,0.012411191,0.012850574
70,0.109034981,0.014352791,0.016307639,,0.008964717,0.00859836
71,0.037138843,0.014352791,0.016307639,,0.000519204,0.000433939
72,0.016300964,0.014352791,0.016307639,,3.79538E-06,4.45642E-11
73,-0.046212674,0.014352791,0.016307639,,0.003668176,0.00390879
74,-0.061268314,0.014352791,0.016307639,,0.005718552,0.006018029
75,0.016342591,0.003944883,-0.003096928,,0.000153703,0.000377895
76,0.4233876,0.003944883,-0.003096928,,0.175932193,0.181889053
77,0.089728109,0.003944883,-0.003096928,,0.007358762,0.008616488
78,-0.023774826,0.003944883,-0.003096928,,0.000768382,0.000427575
79,0.134737894,0.003944883,-0.003096928,,0.017106812,0.018998438
80,-0.119665237,0.003944883,-0.003096928,,0.015279462,0.013588171
81,0.006557855,0.003944883,-0.003096928,,6.82762E-06,9.32148E-05
82,0.267810301,0.003944883,-0.003096928,,0.069624959,0.073390727
83,0.163113628,0.003944883,-0.003096928,,0.025334689,0.027625949
84,0.173876837,0.003944883,-0.003096928,,0.028876869,0.031319714
85,0.740413041,0.003944883,-0.003096928,,0.542385347,0.552807074
86,0.395616701,0.011528535,0.011042078,,0.14752372,0.147897641
87,0.450487922,0.011528535,0.011042078,,0.192685344,0.193112649
88,0.388189158,0.011871107,0.011680771,,0.141615276,0.141758565
89,0.275155709,0.011871107,0.011680771,,0.069318782,0.069419043
90,-0.02472895,0.011871107,0.011680771,,0.001339564,0.001325668
91,0.060622837,0.011871107,0.011680771,,0.002376731,0.002395326
92,-0.096239908,0.011871107,0.011680771,,0.011687991,0.011646873
93,-0.098546713,0.011871107,0.011680771,,0.012192095,0.012150098
94,-0.055684071,0.002945933,-0.004959377,,0.003437477,0.002572995
95,-0.265862525,0.002945933,-0.004959377,,0.072257987,0.068070453
96,-0.339226702,0.002945933,-0.004959377,,0.117082112,0.111734645
97,0.660773298,0.002945933,-0.004959377,,0.432736842,0.443199994
98,0.101761013,0.01380363,0.01528378,,0.007736501,0.007478312
99,-0.197813025,0.01380363,0.01528378,,0.044781609,0.045410249
100,-0.228022643,0.01380363,0.01528378,,0.058479947,0.059198016
101,-0.314896312,0.01380363,0.01528378,,0.108043652,0.109018893
102,-0.286536263,0.01380363,0.01528378,,0.090204051,0.091095338
103,0.07791279,0.01380363,0.01528378,,0.004109984,0.003922393
104,0.123703621,0.01380363,0.01528378,,0.012078008,0.011754862
105,0.412460486,0.01380363,0.01528378,,0.158927289,0.157749336
106,0.627542876,0.01380363,0.01528378,,0.376675862,0.374861201
107,-0.008232261,0.01380363,0.01528378,,0.000485581,0.000553004
108,-0.078319695,0.01380363,0.01528378,,0.008486707,0.008761611
109,-0.093424504,0.01380363,0.01528378,,0.011497873,0.011817491
110,-0.267058181,0.014431243,0.016453905,,0.079236296,0.080379103
111,-0.230664733,0.014326641,0.016258884,,0.060020773,0.060971273
112,-0.226517813,0.014326641,0.016258884,,0.058006051,0.058940525
113,-0.170238193,0.014326641,0.016258884,,0.034064178,0.03478116
114,-0.34954309,0.014326641,0.016258884,,0.132401181,0.133811084
115,-0.150490957,0.014326641,0.016258884,,0.027164841,0.02780551
116,-0.148713706,0.014326641,0.016258884,,0.026582155,0.027215956
117,-0.308863785,0.014326641,0.016258884,,0.104452051,0.10570475
118,-0.053729504,0.014326641,0.016258884,,0.004631639,0.004898374
