,id,year,month,pSales,predict,error
21934,425,2015,12,6.0,-1.0,-7.0
21935,425,2015,11,3.0,-1.0,-4.0
21936,425,2015,10,4.0,-1.0,-5.0
21937,425,2015,9,3.0,-1.0,-4.0
21938,425,2015,8,2.0,-1.0,-3.0
21955,426,2016,8,-4.0,-2.0,2.0
21963,426,2015,12,2.0,-1.0,-3.0
21964,426,2015,11,1.0,-1.0,-2.0
21965,426,2015,10,1.0,-1.0,-2.0
21966,426,2015,9,-1.0,-1.0,0.0
21967,426,2015,8,-1.0,-1.0,0.0
22014,428,2015,10,-3.0,-1.0,2.0
22015,428,2015,9,-3.0,-1.0,2.0
22016,428,2015,8,-4.0,-2.0,2.0
22075,429,2016,8,0.0,-2.0,-2.0
22083,429,2015,12,-1.0,-1.0,0.0
22084,429,2015,11,4.0,-1.0,-5.0
22085,429,2015,10,5.0,-2.0,-7.0
22086,429,2015,9,4.0,-2.0,-6.0
22087,429,2015,8,1.0,-2.0,-3.0
22148,430,2016,8,-2.0,-2.0,0.0
22155,430,2015,12,-1.0,-1.0,0.0
22156,430,2015,11,-2.0,-1.0,1.0
22157,430,2015,10,-2.0,-1.0,1.0
22158,430,2015,9,-2.0,-1.0,1.0
22159,430,2015,8,-2.0,-1.0,1.0
22189,431,2016,8,-2.0,-2.0,0.0
22197,431,2015,12,-1.0,-1.0,0.0
22198,431,2015,11,-1.0,-1.0,0.0
22199,431,2015,10,-2.0,-1.0,1.0
22200,431,2015,9,-1.0,-1.0,0.0
22201,431,2015,8,-1.0,-1.0,0.0
22274,433,2016,8,-3.0,-2.0,1.0
22282,433,2015,12,-0.0,-1.0,-1.0
22283,433,2015,11,-1.0,-1.0,0.0
22284,433,2015,10,-1.0,-1.0,0.0
22285,433,2015,9,-0.0,-1.0,-1.0
22286,433,2015,8,-1.0,-2.0,-1.0
22390,434,2016,8,-0.0,-1.0,-1.0
22398,434,2015,12,-0.0,-1.0,-1.0
22399,434,2015,11,-0.0,-1.0,-1.0
22400,434,2015,10,0.0,-1.0,-1.0
22401,434,2015,9,-1.0,-1.0,0.0
22402,434,2015,8,-0.0,-1.0,-1.0
22455,435,2016,8,-1.0,-1.0,0.0
22463,435,2015,12,2.0,-1.0,-3.0
22464,435,2015,11,2.0,-1.0,-3.0
22465,435,2015,10,1.0,-1.0,-2.0
22466,435,2015,9,2.0,-1.0,-3.0
22467,435,2015,8,-1.0,-1.0,0.0
22498,436,2016,8,2.0,-1.0,-3.0
22506,436,2015,12,6.0,-1.0,-7.0
22507,436,2015,11,3.0,-1.0,-4.0
22508,436,2015,10,0.0,-1.0,-1.0
22509,436,2015,9,1.0,-1.0,-2.0
22510,436,2015,8,-0.0,-1.0,-1.0
22521,438,2016,8,-3.0,-2.0,1.0
22529,438,2015,12,-1.0,-1.0,0.0
22530,438,2015,11,-2.0,-1.0,1.0
22531,438,2015,10,-2.0,-1.0,1.0
22532,438,2015,9,-0.0,-1.0,-1.0
22533,438,2015,8,0.0,-1.0,-1.0
22607,439,2015,12,-1.0,-1.0,0.0
22608,439,2015,11,-1.0,-1.0,0.0
22609,439,2015,10,-2.0,-1.0,1.0
22610,439,2015,9,-2.0,-1.0,1.0
22611,439,2015,8,-2.0,-1.0,1.0
22666,441,2016,8,1.0,-2.0,-3.0
22674,441,2015,12,0.0,-1.0,-1.0
22675,441,2015,11,1.0,-1.0,-2.0
22676,441,2015,10,1.0,-1.0,-2.0
22677,441,2015,9,0.0,-1.0,-1.0
22678,441,2015,8,0.0,-1.0,-1.0
22782,442,2016,8,4.0,-1.0,-5.0
22790,442,2015,12,4.0,-1.0,-5.0
22791,442,2015,11,4.0,-1.0,-5.0
22792,442,2015,10,2.0,-1.0,-3.0
22793,442,2015,9,0.0,-1.0,-1.0
22794,442,2015,8,-1.0,-1.0,0.0
22805,443,2016,8,-2.0,-1.0,1.0
22813,443,2015,12,-2.0,-1.0,1.0
22814,443,2015,11,-2.0,-1.0,1.0
22815,443,2015,10,-3.0,-1.0,2.0
22816,443,2015,9,-2.0,-1.0,1.0
22817,443,2015,8,-2.0,-1.0,1.0
22898,444,2016,8,-3.0,-2.0,1.0
22906,444,2015,12,-1.0,-1.0,0.0
22907,444,2015,11,-3.0,-1.0,2.0
22908,444,2015,10,-1.0,-1.0,0.0
22909,444,2015,9,-3.0,-1.0,2.0
22910,444,2015,8,-3.0,-1.0,2.0
22993,447,2016,8,3.0,-2.0,-5.0
23001,447,2015,12,2.0,-1.0,-3.0
23002,447,2015,11,3.0,-1.0,-4.0
23003,447,2015,10,2.0,-1.0,-3.0
23004,447,2015,9,2.0,-1.0,-3.0
23005,447,2015,8,0.0,-1.0,-1.0
23106,449,2015,12,-1.0,-1.0,0.0
23107,449,2015,11,-1.0,-1.0,0.0
23108,449,2015,10,-1.0,-1.0,0.0
23109,449,2015,9,-1.0,-1.0,0.0
23110,449,2015,8,-2.0,-1.0,1.0
23174,450,2015,10,-3.0,-1.0,2.0
23175,450,2015,9,-3.0,-1.0,2.0
23204,451,2016,8,-4.0,-2.0,2.0
23212,451,2015,12,0.0,-1.0,-1.0
23213,451,2015,11,-1.0,-1.0,0.0
23214,451,2015,10,-1.0,-2.0,-1.0
23215,451,2015,9,-3.0,-2.0,1.0
23216,451,2015,8,-3.0,-2.0,1.0
23320,452,2016,8,1.0,-1.0,-2.0
23328,452,2015,12,-1.0,-1.0,0.0
23329,452,2015,11,-3.0,-1.0,2.0
23330,452,2015,10,-0.0,-1.0,-1.0
23331,452,2015,9,1.0,-1.0,-2.0
23332,452,2015,8,-1.0,-1.0,0.0
23395,454,2016,8,-3.0,-2.0,1.0
23403,454,2015,12,-2.0,-1.0,1.0
23404,454,2015,11,-2.0,-1.0,1.0
23405,454,2015,10,-2.0,-1.0,1.0
23406,454,2015,9,-2.0,-1.0,1.0
23407,454,2015,8,-3.0,-2.0,1.0
23471,455,2016,8,-1.0,-2.0,-1.0
23479,455,2015,12,1.0,-1.0,-2.0
23480,455,2015,11,1.0,-1.0,-2.0
23481,455,2015,10,-1.0,-1.0,0.0
23482,455,2015,9,-2.0,-1.0,1.0
23483,455,2015,8,-2.0,-1.0,1.0
23518,456,2015,10,-2.0,-1.0,1.0
23599,457,2016,8,-3.0,-1.0,2.0
23607,457,2015,12,-3.0,-1.0,2.0
23608,457,2015,11,-1.0,-1.0,0.0
23609,457,2015,10,-2.0,-1.0,1.0
23610,457,2015,9,-2.0,-1.0,1.0
23611,457,2015,8,-3.0,-1.0,2.0
23715,459,2016,8,5.0,-2.0,-7.0
23723,459,2015,12,-3.0,-1.0,2.0
23724,459,2015,11,-3.0,-1.0,2.0
23725,459,2015,10,-3.0,-1.0,2.0
23726,459,2015,9,-3.0,-1.0,2.0
23727,459,2015,8,-0.0,-1.0,-1.0
