,id,year,month,pSales,predict,error
9802,190,2015,8,-3.0,-2.0,1.0
9895,191,2016,8,-4.0,-2.0,2.0
9903,191,2015,12,-2.0,-1.0,1.0
9904,191,2015,11,-0.0,-1.0,-1.0
9905,191,2015,10,1.0,-1.0,-2.0
9906,191,2015,9,1.0,-1.0,-2.0
9907,191,2015,8,-1.0,-1.0,0.0
9969,192,2016,8,-1.0,-2.0,-1.0
9977,192,2015,12,-1.0,-1.0,0.0
9978,192,2015,11,-0.0,-1.0,-1.0
9979,192,2015,10,-0.0,-2.0,-2.0
9980,192,2015,9,-1.0,-2.0,-1.0
9981,192,2015,8,-2.0,-2.0,0.0
10014,193,2016,8,3.0,-2.0,-5.0
10022,193,2015,12,0.0,-1.0,-1.0
10023,193,2015,11,2.0,-1.0,-3.0
10024,193,2015,10,1.0,-1.0,-2.0
10025,193,2015,9,1.0,-1.0,-2.0
10026,193,2015,8,-1.0,-1.0,0.0
10042,195,2016,8,-3.0,-2.0,1.0
10049,195,2015,12,-3.0,-1.0,2.0
10050,195,2015,11,-4.0,-2.0,2.0
10051,195,2015,10,-3.0,-2.0,1.0
10052,195,2015,9,-2.0,-2.0,0.0
10053,195,2015,8,-3.0,-2.0,1.0
10078,196,2015,10,-3.0,-1.0,2.0
10149,198,2016,8,-5.0,-2.0,3.0
10157,198,2015,12,-3.0,-1.0,2.0
10158,198,2015,11,0.0,-1.0,-1.0
10159,198,2015,10,-2.0,-1.0,1.0
10160,198,2015,9,-2.0,-1.0,1.0
10161,198,2015,8,-0.0,-1.0,-1.0
10182,200,2016,8,-2.0,-2.0,0.0
10190,200,2015,12,1.0,-1.0,-2.0
10191,200,2015,11,1.0,-1.0,-2.0
10192,200,2015,10,3.0,-1.0,-4.0
10193,200,2015,9,3.0,-1.0,-4.0
10194,200,2015,8,3.0,-1.0,-4.0
10224,201,2016,8,-3.0,-2.0,1.0
10231,201,2015,12,-1.0,-1.0,0.0
10232,201,2015,11,-4.0,-1.0,3.0
10233,201,2015,10,-3.0,-2.0,1.0
10234,201,2015,9,-2.0,-2.0,0.0
10235,201,2015,8,-1.0,-2.0,-1.0
10243,202,2016,8,-2.0,-2.0,0.0
10251,202,2015,12,1.0,-1.0,-2.0
10252,202,2015,11,2.0,-1.0,-3.0
10253,202,2015,10,2.0,-1.0,-3.0
10254,202,2015,9,3.0,-1.0,-4.0
10255,202,2015,8,-1.0,-1.0,0.0
10356,205,2016,8,0.0,-2.0,-2.0
10363,205,2015,12,4.0,-1.0,-5.0
10364,205,2015,11,3.0,-1.0,-4.0
10365,205,2015,10,1.0,-1.0,-2.0
10366,205,2015,9,1.0,-1.0,-2.0
10367,205,2015,8,-0.0,-1.0,-1.0
10463,207,2016,8,7.0,-1.0,-8.0
10471,207,2015,12,1.0,-1.0,-2.0
10472,207,2015,11,0.0,-1.0,-1.0
10473,207,2015,10,0.0,-1.0,-1.0
10474,207,2015,9,-1.0,-1.0,0.0
10475,207,2015,8,-6.0,-1.0,5.0
10535,210,2016,8,2.0,-2.0,-4.0
10543,210,2015,12,2.0,-1.0,-3.0
10544,210,2015,11,3.0,-1.0,-4.0
10545,210,2015,10,3.0,-1.0,-4.0
10546,210,2015,9,3.0,-1.0,-4.0
10547,210,2015,8,3.0,-1.0,-4.0
10583,211,2016,8,-0.0,-2.0,-2.0
10591,211,2015,12,5.0,-1.0,-6.0
10592,211,2015,11,2.0,-1.0,-3.0
10593,211,2015,10,2.0,-1.0,-3.0
10594,211,2015,9,2.0,-1.0,-3.0
10595,211,2015,8,1.0,-1.0,-2.0
10686,212,2016,8,-3.0,-2.0,1.0
