,0,1,2,3,,,,,,,,,
225,-0.31648031,-0.166209661,716,2212.244848,,0.022581268,,,,,2238748.645,,
226,-0.190438329,-0.167626735,1971,2198.13504,,0.000520369,,,,,51590.3264,,
227,-0.134899512,-0.16904381,2524,2184.025231,,0.001165833,,,,,115582.8436,,
228,-0.276608863,-0.170460884,1113,2169.915423,,0.011267393,,,,,1117070.211,,
229,-0.119131711,-0.171877958,2681,2155.805614,,0.002782167,,,,,275829.1431,,
230,0.178849609,-0.145763196,5648,2415.830299,,0.105373473,,,,,10446920.98,,
231,0.033524712,-0.147180271,4201,2401.72049,,0.032654291,,,,,3237406.755,,
232,-0.00172687,-0.148597345,3850,2387.610682,,0.021570936,,,,,2138582.517,,
233,-0.119131711,-0.150014419,2681,2373.500873,,0.000953742,,,,,94555.71311,,
234,-0.104666624,-0.228413808,1088,446.8658403,,0.015313366,,,,,411053.0107,,
235,-0.108333869,-0.229830882,1069,439.5239785,,0.014761524,,,,,396240.0616,,
236,-0.017038753,-0.231247956,1542,432.1821166,,0.045885583,,,,,1231695.734,,
237,-0.058922559,-0.23266503,1325,424.8402548,,0.030186446,,,,,810287.5669,,
238,-0.048499861,-0.234082105,1379,417.4983929,,0.034440769,,,,,924485.3405,,
239,0.316487594,-0.235499179,3270,410.1565311,,0.304689397,,,,,8178704.667,,
240,0.137371593,-0.236916253,2342,402.8146692,,0.140091392,,,,,3760439.747,,
241,0.709461923,-0.238333328,5306,395.4728074,,0.898315837,,,,,24113277.31,,
242,0.153198653,-0.212218566,2424,530.773389,,0.133529744,,,,,3584307.001,,
243,0.196819576,-0.21363564,2650,523.4315272,,0.168473484,,,,,4522293.47,,
244,-0.043095499,-0.215052714,1407,516.0896653,,0.029569284,,,,,793721.2245,,
245,-0.28281756,-0.216469789,165,508.7478035,,0.004402027,,,,,118162.5524,,
246,-0.266217028,-0.145079485,186,548.8069412,,0.014674304,,,,,131628.8766,,
247,-0.221809683,-0.14649656,319,544.5628038,,0.005672067,,,,,50878.57846,,
248,-0.185081803,-0.147913634,429,540.3186663,,0.001381473,,,,,12391.84547,,
249,-0.243178631,-0.149330708,255,536.0745288,,0.008807433,,,,,79002.89074,,
250,-0.272560935,-0.150747783,167,531.8303913,,0.014838444,,,,,133101.2144,,
251,-0.204781302,-0.152164857,370,527.5862539,,0.00276849,,,,,24833.42742,,
252,-0.216467446,-0.153581931,335,523.3421164,,0.003954588,,,,,35472.75281,,
253,-0.039839733,-0.154999005,864,519.0979789,,0.013261658,,,,,118957.4042,,
254,-0.108621035,-0.128884243,658,597.311691,,0.000410598,,,,,3683.070849,,
255,-0.028821369,-0.130301318,897,593.0675535,,0.01029818,,,,,92374.93204,,
256,0.021262104,-0.131718392,1047,588.823416,,0.023403032,,,,,209925.7821,,
257,0.023599332,-0.133135466,1054,584.5792785,,0.024565797,,,,,220355.8138,,
258,0.175485279,-0.228979563,7879,2511.751539,,0.163591809,,,,,28807356.04,,
259,-0.062193696,-0.230396638,4725,2492.946964,,0.02829223,,,,,4982060.756,,
260,0.176992438,-0.231813712,7899,2474.142388,,0.167122468,,,,,29429080.11,,
261,-0.016602136,-0.233230786,5330,2455.337812,,0.046927972,,,,,8263682.695,,
262,-0.039510953,-0.23464786,5026,2436.533236,,0.038078413,,,,,6705338.122,,
263,0.055515422,-0.236064935,6287,2417.728661,,0.085019105,,,,,14971260.69,,
264,0.113616402,-0.237482009,7058,2398.924085,,0.123270094,,,,,21706988.38,,
265,0.716555362,-0.238899083,15059,2380.119509,,0.912893197,,,,,160754010.5,,
266,0.355289349,-0.212784321,10265,2726.6624,,0.322707694,,,,,56826533.77,,
267,0.34383494,-0.214201396,10113,2707.857825,,0.311404552,,,,,54836130.63,,
268,0.088974352,-0.21561847,6731,2689.053249,,0.092776787,,,,,16337333.54,,
269,-0.002434841,-0.217035544,5518,2670.248673,,0.046053462,,,,,8109687.62,,
270,-0.261158351,-0.176352361,769,1113.736349,,0.007192056,,,,,118843.1503,,
271,-0.303962779,-0.177769435,595,1107.975942,,0.01592476,,,,,263144.3171,,
272,-0.323642976,-0.179186509,515,1102.215535,,0.020867671,,,,,344822.0845,,
273,-0.206299802,-0.180603584,992,1096.455128,,0.000660296,,,,,10910.87377,,
274,-0.010727846,-0.182020658,1787,1090.694722,,0.029341227,,,,,484841.0402,,
