year,month,data_value,car_id
2011,11,48,389
2011,10,45,389
2011,9,87,389
2011,8,84,389
2011,7,57,389
2011,6,67,389
2011,5,81,389
2011,4,78,389
2011,3,56,389
2011,2,68,389
2011,1,152,389
2010,12,83,389
2010,11,107,389
2010,10,206,389
2010,9,160,389
2010,8,114,389
2010,7,153,389
2010,6,132,389
2010,5,239,389
2010,4,211,389
2010,3,301,389
2010,2,231,389
2010,1,272,389
2009,12,711,389
2009,11,317,389
2009,10,376,389
2009,9,360,389
2009,8,178,389
2009,7,197,389
2009,6,373,389
2009,5,240,389
2009,4,243,389
2009,3,234,389
2009,2,142,389
2009,1,170,389
2008,12,420,389
2008,11,344,389
2008,10,288,389
2008,9,366,389
2008,8,139,389
2008,7,93,389
2008,6,202,389
2008,5,195,389
2008,4,139,389
2008,3,858,389
2008,2,404,389
2008,1,517,389
2007,12,697,389
2007,11,789,389
2007,10,675,389
2007,9,1475,389
2007,8,1231,389
2007,7,863,389
2007,6,282,389
2007,5,284,389
2007,4,345,389
2007,3,1050,389
2007,2,583,389
2007,1,1518,389
2016,8,337,390
2016,7,387,390
2016,6,297,390
2016,5,861,390
2016,4,868,390
2016,3,746,390
2016,2,913,390
2016,1,1576,390
2015,12,762,390
2015,11,2065,390
2015,10,1343,390
2015,9,1200,390
2015,8,530,390
2015,7,666,390
2015,6,763,390
2015,5,2326,390
2015,4,3319,390
2015,3,3446,390
2015,2,2061,390
2015,1,1355,390
2014,12,2304,390
2014,11,1690,390
2014,10,1007,390
2016,8,567,391
2016,7,541,391
2016,6,707,391
2016,5,918,391
2016,4,1528,391
2016,3,596,391
2016,2,497,391
2016,1,776,391
2015,12,836,391
2015,11,819,391
2015,10,734,391
2015,9,559,391
2015,8,471,391
2015,7,486,391
2015,6,450,391
2015,5,2452,391
2015,4,3810,391
2016,8,4865,392
2016,7,2207,392
2016,6,5057,392
2016,5,6768,392
2016,4,9325,392
2016,3,10810,392
2016,2,15825,392
2016,1,16693,392
2015,12,18617,392
2015,11,18757,392
2015,10,8400,392
2015,9,5720,392
2015,8,6254,392
2015,7,6751,392
2015,6,6497,392
2015,5,4297,392
2015,4,1497,392
2016,8,1609,393
2016,7,3053,393
2016,6,3111,393
2016,5,3190,393
2016,4,3774,393
2016,3,5600,393
2016,2,5655,393
2016,1,9057,393
2015,12,6485,393
2015,11,6142,393
2015,10,7161,393
2015,9,6930,393
2016,8,574,394
2016,7,422,394
2016,6,381,394
2016,5,730,394
2016,4,1108,394
2016,3,685,394
2016,2,920,394
2016,1,1133,394
2015,12,1121,394
2015,11,1022,394
2015,10,1417,394
2015,9,1179,394
2015,8,448,394
2015,7,2110,394
2015,6,2207,394
2015,5,3015,394
2015,4,4213,394
2015,3,4168,394
2015,2,3589,394
2015,1,4016,394
2014,12,3484,394
2014,11,3487,394
2014,10,2788,394
2014,9,2345,394
2014,8,3451,394
2014,7,2538,394
2014,6,2057,394
2014,5,1567,394
2014,4,2586,394
2014,3,3042,394
2014,2,2703,394
2014,1,6029,394
2013,12,6837,394
2013,11,7654,394
2013,10,5450,394
2013,9,5248,394
2013,8,4971,394
2013,7,4921,394
2013,6,5865,394
2013,5,5900,394
2013,4,6590,394
2013,3,7093,394
2013,2,5705,394
2013,1,7138,394
2012,12,6420,394
2012,11,5536,394
2012,10,6903,394
2012,9,3930,394
2012,8,2793,394
2012,7,3477,394
2012,6,4177,394
2012,5,4504,394
2012,4,4057,394
2012,3,2974,394
8,1255,395,
7,1331,395,
5,1960,395,
4,1752,395,
3,4320,395,
2,4361,395,
1,6903,395,
12,8457,395,
11,7552,395,
10,4157,395,
9,2235,395,
8,2314,395,
7,891,395,
6,1488,395,
5,3238,395,
4,3141,395,
3,4999,395,
2,4147,395,
1,6803,395,
12,8481,395,
11,5851,395,
10,6218,395,
9,5510,395,
8,5579,395,
7,3553,395,
6,5182,395,
5,4315,395,
4,3681,395,
3,3280,395,
2,1466,395,
1,1853,395,
12,2151,395,
11,2191,395,
10,2171,395,
9,1377,395,
8,1943,395,
7,1108,395,
6,4279,395,
5,2447,395,
4,3040,395,
3,3615,395,
2,3120,395,
1,5243,395,
12,5595,395,
11,5539,395,
10,5079,395,
9,4089,395,
8,2963,395,
7,4015,395,
6,7458,395,
5,6331,395,
4,5711,395,
3,6978,395,
2,6032,395,
1,1840,395,
12,9157,395,
11,7094,395,
10,7977,395,
9,6064,395,
8,5381,395,
7,3521,395,
6,6740,395,
5,6499,395,
4,6176,395,
3,8708,395,
2,5960,395,
1,7087,395,
12,8967,395,
11,6710,395,
10,5256,395,
9,3073,395,
8,4633,395,
7,5112,395,
6,4889,395,
5,5061,395,
4,5167,395,
3,4657,395,
2,4474,395,
1,4011,395,
12,5863,395,
11,5455,395,
10,5489,395,
9,5646,395,
8,5213,395,
7,5376,395,
6,5814,395,
5,7621,395,
4,8987,395,
3,5614,395,
2,4245,395,
1,6935,395,
12,9388,395,
11,4277,395,
10,6905,395,
9,7087,395,
8,5073,395,
7,5750,395,
6,6225,395,
5,6636,395,
4,6978,395,
3,11360,395,
2,6340,395,
1,9408,395,
12,12457,395,
11,10916,395,
10,9421,395,
9,8479,395,
8,3919,395,
7,7161,395,
6,6754,395,
5,9208,395,
4,12149,395,
3,12090,395,
2,10664,395,
1,10449,395,
8,12903,396,
7,12193,396,
6,14345,396,
5,13429,396,
4,12062,396,
3,12445,396,
2,6315,396,
1,10837,396,
12,10078,396,
11,14241,396,
10,11014,396,
9,13839,396,
8,13097,396,
7,12507,396,
6,12295,396,
5,10569,396,
4,10714,396,
3,12039,396,
2,10123,396,
1,16686,396,
12,10395,396,
11,11858,396,
10,10798,396,
9,11294,396,
8,10794,396,
7,11533,396,
6,13027,396,
5,12127,396,
4,12420,396,
3,12296,396,
2,9670,396,
1,12269,396,
12,9807,396,
11,9059,396,
10,8601,396,
9,8491,396,
8,12551,396,
7,11568,396,
6,10886,396,
5,11016,396,
4,11206,396,
3,10807,396,
2,8299,396,
1,11561,396,
12,9028,396,
11,9511,396,
10,7872,396,
9,9857,396,
8,10900,396,
7,9226,396,
6,9572,396,
5,11042,396,
4,8129,396,
3,8206,396,
2,5991,396,
1,6605,396,
12,5704,396,
11,5296,396,
10,5517,396,
9,5029,396,
8,5297,396,
7,5310,396,
6,5539,396,
5,5717,396,
4,5332,396,
3,5797,396,
2,4207,396,
1,6749,396,
12,4910,396,
11,5051,396,
10,3827,396,
9,2978,396,
8,4426,396,
7,3260,396,
6,3099,396,
5,2797,396,
4,2650,396,
3,3879,396,
2,2090,396,
1,2052,396,
12,2194,396,
11,2248,396,
10,2361,396,
9,3194,396,
8,2545,396,
7,2595,396,
6,2543,396,
5,2636,396,
4,2319,396,
3,1781,396,
2,1424,396,
1,1783,396,
12,2039,396,
11,2164,396,
10,2605,396,
9,2465,396,
8,1728,396,
7,1536,396,
6,1853,396,
5,1298,396,
4,1392,396,
3,1825,396,
2,1064,396,
1,1733,396,
12,2232,396,
11,1886,396,
10,1440,396,
9,1507,396,
8,1553,396,
7,1250,396,
6,1582,396,
5,1333,396,
4,1963,396,
3,1721,396,
2,1115,396,
1,1620,396,
2016,8,5378,397
2016,7,5867,397
2016,6,6141,397
2016,5,5772,397
2016,4,4972,397
2016,3,7110,397
2016,2,4483,397
2016,1,8437,397
2015,12,7554,397
2015,11,5824,397
2015,10,5634,397
2016,8,22203,398
2016,7,24517,398
2016,6,21787,398
2016,5,21010,398
2016,4,22305,398
2016,3,22838,398
2016,2,15892,398
2016,1,24275,398
2015,12,23045,398
2015,11,24112,398
2015,10,20679,398
2015,9,18059,398
2015,8,10108,398
2015,7,11673,398
2015,6,17513,398
2015,5,15257,398
2015,4,14833,398
2015,3,23446,398
2015,2,16827,398
2015,1,18810,398
2014,12,3710,398
2016,8,200,399
2016,7,0,399
2015,12,200,399
2015,10,120,399
2015,9,40,399
2015,6,200,399
2015,4,67,399
2015,3,60,399
2015,2,40,399
2015,1,359,399
2014,12,48,399
2014,11,233,399
2014,10,51,399
2014,9,100,399
2014,7,4,399
2014,6,150,399
2014,5,117,399
2014,4,367,399
2014,3,27,399
2014,2,67,399
2014,1,565,399
2013,12,513,399
