,0,1,2,3,,,,,,
137,0.08814836,0.030911358,7440,6811.480482,,,,395036.7851,,
138,-0.022497301,0.02906327,6225,6791.186626,,,,320567.2952,,
139,-0.126950447,0.027220322,5078,6770.949212,,,,2866077.035,,
140,0.284578558,0.025383359,9597,6750.777523,,,,8100982.388,,
141,0.442032342,0.048291622,11326,7002.333162,,,,18694094.92,,
142,0.329292154,0.046406192,10088,6981.629253,,,,9649539.22,,
143,0.170381308,0.044529204,8343,6961.018045,,,,1909874.123,,
144,0.086509165,0.042660399,7422,6940.4967,,,,231845.4278,,
145,0.525611411,0.028349843,32832,15808.25022,,,,289808056.5,,
146,0.4752828,0.026481786,31109,15744.29729,,,,236074089.2,,
147,0.471310258,0.024618101,30973,15680.49401,,,,233860739.6,,
148,0.452937247,0.022765608,30344,15617.07393,,,,216882351.4,,
149,0.261232851,0.020918178,23781,15553.82715,,,,67686373.06,,
150,0.390136021,0.019080384,28194,15490.91026,,,,161368488.9,,
151,0.154850494,0.017249775,20139,15428.23938,,,,22191265.66,,
152,0.580934911,0.015425429,34726,15365.78289,,,,374818006.6,,
153,0.5788318,0.038304219,34654,16149.03825,,,,342433609.2,,
154,0.540362397,0.036425072,33337,16084.70567,,,,297641659.5,,
155,0.445926878,0.034547949,30104,16020.44238,,,,198346595.2,,
156,0.483724454,0.032672582,31398,15956.23918,,,,238447977.3,,
157,0.186100069,0.036826462,5268,4479.387534,,,,621909.621,,
158,0.143889204,0.034975163,5045,4469.607117,,,,331076.9698,,
159,0.355132816,0.033130002,6161,4459.859132,,,,2893880.252,,
160,0.182314342,0.031290651,5248,4450.141841,,,,636577.6415,,
161,-0.222569247,0.029457134,3109,4440.45537,,,,1772773.403,,
162,-0.644867184,0.027628291,878,4430.793594,,,,12622342.32,,
163,-0.111719939,0.060697309,41,305.3156411,,,,69862.75815,,
164,0.397086323,0.058845512,821,302.476837,,,,268866.2706,,
165,-0.135203305,0.056996483,5,299.642275,,,,86814.0702,,
166,-0.135203305,0.055155368,5,296.8198461,,,,85158.82257,,
167,-0.136507937,0.053320472,3,294.0069505,,,,84685.04522,,
168,-0.122156991,0.051488737,25,291.1989011,,,,70861.85494,,
169,-0.112372255,0.049659589,40,288.3948161,,,,61699.98466,,
170,-0.112372255,0.047835346,40,285.5982521,,,,60318.50144,,
171,-0.111719939,0.070622937,41,320.5316296,,,,78137.93195,,
172,-0.137160252,0.068741458,2,317.6473214,,,,99633.23151,,
173,-0.111719939,0.065002151,41,311.9149648,,,,73394.91817,,
174,-0.239491335,0.055168295,40,502.3209589,,,,213740.6691,,
175,-0.240766032,0.053303146,38,499.3945401,,,,212884.9217,,
176,-0.220370876,0.051444972,70,496.4790655,,,,181884.3933,,
177,-0.220370876,0.049599474,70,493.5834792,,,,179422.9638,,
178,-0.217184133,0.047766939,75,490.7082322,,,,172813.3343,,
179,-0.198701023,0.045940295,104,487.8422276,,,,147334.8557,,
180,-0.240766032,0.044119008,38,484.9846281,,,,199795.2578,,
181,-0.208261252,0.042300488,89,482.1313712,,,,154552.275,,
182,-0.224832317,0.065138571,63,517.9643221,,,,206992.5344,,
183,-0.201887766,0.063252388,99,515.0049012,,,,173060.0778,,
184,-0.208898601,0.061369267,88,512.050284,,,,179818.6434,,
185,-0.212722693,0.059490519,82,509.1025293,,,,182416.5705,,
186,-0.051270658,0.045483389,5693,6327.31953,,,,402361.2662,,
187,-0.22256413,0.043613628,4570,6315.061378,,,,3045239.215,,
188,-0.538915564,0.041749459,2496,6302.839885,,,,14492029.91,,
189,0.234879433,0.039891217,7569,6290.657253,,,,1634160.178,,
190,-0.234461628,0.038039253,4492,6278.515775,,,,3191638.616,,
191,-0.060117516,0.036195853,5635,6266.430448,,,,398704.4112,,
192,-0.296847229,0.034360716,4083,6254.399287,,,,4714974.864,,
193,0.127496883,0.032529952,6865,6242.396803,,,,387634.7407,,
194,0.227710428,0.055444008,7522,6392.62135,,,,1275496.135,,
195,0.370938006,0.053558333,8461,6380.258864,,,,4329483.677,,
196,0.367277237,0.051678372,8437,6367.933843,,,,4281034.763,,
197,0.194000849,0.049805075,7301,6355.652505,,,,893681.8859,,
198,-0.236271557,0.036775719,480,3307.950641,,,,7997304.829,,
199,-0.247375158,0.034925003,365,3288.782774,,,,8548505.712,,
200,-0.18992609,0.033076019,960,3269.632845,,,,5334403.88,,
201,-0.279623879,0.031234618,31,3250.561453,,,,10365575.95,,
202,-0.278851455,0.029406393,39,3231.626526,,,,10192864.14,,
203,-0.1191527,0.0275862,1693,3212.77479,,,,2309715.411,,
204,-0.108821523,0.025767633,1800,3193.939893,,,,1943068.427,,
205,0.059084241,0.023953949,3539,3175.155565,,,,132382.7726,,
206,-0.242933718,0.046692912,411,3410.663001,,,,8997978.117,,
207,-0.229030078,0.044810071,555,3391.162424,,,,8043817.294,,
208,-0.277982477,0.042939283,48,3371.786672,,,,11047557.84,,
209,-0.271030657,0.041079669,120,3352.526645,,,,10449228.51,,
210,0.3154733,0.035524304,11792,6174.543452,,,,31555818.07,,
211,0.381405723,0.033639651,13115,6136.726003,,,,48696307.97,,
212,0.52119442,0.031760719,15920,6099.023353,,,,96451582.31,,
213,0.456557721,0.029887162,14623,6061.428559,,,,73300505.54,,
214,0.360125946,0.028019367,12688,6023.949393,,,,44409570.49,,
215,0.445693573,0.026160819,14405,5986.655753,,,,70868519.87,,
216,0.026377317,0.024314284,5991,5949.603183,,,,1713.69649,,
217,0.591362864,0.022475878,17328,5912.713735,,,,130308760.5,,
218,0.733194819,0.045532316,20174,6375.364223,,,,190402349.3,,
219,0.749640548,0.043639296,20504,6337.378883,,,,200693153.9,,
220,0.501210367,0.041751202,15519,6299.492393,,,,84999320.52,,
221,0.586478981,0.039862479,17230,6261.593262,,,,120305946.4,,
222,-0.333051566,0.063811462,551,4502.565175,,,,15614867.34,,
223,-0.338173591,0.061958705,500,4484.117267,,,,15873190.4,,
224,-0.341086115,0.060112319,471,4465.732804,,,,15957890.18,,
225,-0.31648031,0.058274613,716,4447.434768,,,,13923605.42,,
226,-0.190438329,0.056440923,1971,4429.176719,,,,6042632.784,,
227,-0.134899512,0.054608491,2524,4410.93119,,,,3560509.314,,
228,-0.276608863,0.052778552,1113,4392.710485,,,,10756500.87,,
229,-0.119131711,0.050953294,2681,4374.536394,,,,2868065.517,,
230,0.178849609,0.073749795,5648,4601.52115,,,,1095117.983,,
231,0.033524712,0.071864293,4201,4582.747208,,,,145730.9311,,
232,-0.00172687,0.069990861,3850,4564.093444,,,,509929.4473,,
233,-0.119131711,0.068122725,2681,4545.49242,,,,3476331.982,,
234,-0.104666624,0.042684458,1088,1851.425955,,,,582819.1883,,
235,-0.108333869,0.040827904,1069,1841.807149,,,,597230.8897,,
236,-0.017038753,0.038978505,1542,1832.225412,,,,84230.78987,,
237,-0.058922559,0.037135113,1325,1822.674798,,,,247680.2048,,
238,-0.048499861,0.035297803,1379,1813.155697,,,,188491.169,,
239,0.316487594,0.033470241,3270,1803.687097,,,,2150073.529,,
240,0.137371593,0.031654809,2342,1794.281341,,,,299995.7294,,
241,0.709461923,0.029841435,5306,1784.886253,,,,12398242.02,,
242,0.153198653,0.052637631,2424,1902.993344,,,,271447.9353,,
243,0.196819576,0.050753517,2650,1893.231749,,,,572698.1853,,
244,-0.043095499,0.048872698,1407,1883.487226,,,,227040.0766,,
245,-0.28281756,0.046997235,165,1873.770451,,,,2919896.453,,
246,-0.266217028,0.062441814,186,1170.333232,,,,968911.9107,,
